Year,Area,SubArea,Address,BuildingType,LandArea,Pricepsf,Price,Tenure,BuiltUp,min_dist_airport_10km,min_dist_hospital_2km,min_dist_school_2km,dist_conv_store_2km,dist_train_10km,dist_min_police_2km,dist_bus_500m,no_hospital_2km,no_train_station_10km,no_conv_store_2km,no_manufacturing_1km,no_police_2km,no_bus_station_500m,no_school_1km,Population,CPI,CityArea.km2.,Pop.Density
2016,Ampang jaya,TAMAN KENCANA (AMPANG),JALAN PERDANA 3/10,TERRACE PLOT - RESIDENTIAL USE,2731,139,380000,LEASEHOLD,0 ftA2,6114.83156,296.8980273,290.495402,241.8780353,6414.602175,1406.19098,74.18046127,20,4,19,20,1,7,16,942827.1,116.18,143.5,6570.223693
2015,Ampang jaya,TAMAN KENCANA (AMPANG),JALAN KENCANA 5,TERRACE PLOT - RESIDENTIAL USE,2680,224,600000,LEASEHOLD,0 ftA2,6815.664418,160.1519278,125.5813622,180.0823358,8248.492698,1587.576107,126.3126373,15,6,20,20,3,10,20,916181.7,114.35,143.5,6384.541463
2015,Ampang jaya,TAMAN KENCANA (AMPANG),BERHAMPIRAN JALAN KENCANA 5,TERRACE PLOT - RESIDENTIAL USE,825,24,20000,LEASEHOLD,0 ftA2,6091.447159,318.1506517,286.7615647,270.209934,6389.016942,1379.863719,46.67659658,20,4,19,20,1,7,16,916181.7,114.35,143.5,6384.541463
2015,Ampang jaya,TAMAN KENCANA (AMPANG),JALAN KENCANA 5,TERRACE PLOT - RESIDENTIAL USE,825,24,20000,LEASEHOLD,0 ftA2,6815.664418,160.1519278,125.5813622,180.0823358,8248.492698,1587.576107,126.3126373,15,6,20,20,3,10,20,916181.7,114.35,143.5,6384.541463
2015,Ampang jaya,TAMAN KENCANA (AMPANG),BERHAMPIRAN JALAN KENCANA 5,TERRACE PLOT - RESIDENTIAL USE,825,24,20000,LEASEHOLD,0 ftA2,6091.447159,318.1506517,286.7615647,270.209934,6389.016942,1379.863719,46.67659658,20,4,19,20,1,7,16,916181.7,114.35,143.5,6384.541463
2015,Ampang jaya,TAMAN KENCANA (AMPANG),JALAN KENCANA 5,TERRACE PLOT - RESIDENTIAL USE,825,24,20000,LEASEHOLD,0 ftA2,6815.664418,160.1519278,125.5813622,180.0823358,8248.492698,1587.576107,126.3126373,15,6,20,20,3,10,20,916181.7,114.35,143.5,6384.541463
2013,Ampang jaya,TAMAN KENCANA (AMPANG),BERHAMPIRAN JALAN KENCANA 5,TERRACE PLOT - RESIDENTIAL USE,825,24,20000,LEASEHOLD,0 ftA2,6091.447159,318.1506517,286.7615647,270.209934,6389.016942,1379.863719,46.67659658,20,4,19,20,1,7,16,862890.8,107.1,143.5,6013.176307
2013,Ampang jaya,TAMAN KENCANA (AMPANG),BERHAMPIRAN JALAN KENCANA 5,TERRACE PLOT - RESIDENTIAL USE,825,24,20000,LEASEHOLD,0 ftA2,6091.447159,318.1506517,286.7615647,270.209934,6389.016942,1379.863719,46.67659658,20,4,19,20,1,7,16,862890.8,107.1,143.5,6013.176307
2013,Ampang jaya,TAMAN KENCANA (AMPANG),BERHAMPIRAN JALAN KENCANA 5,TERRACE PLOT - RESIDENTIAL USE,825,24,20000,LEASEHOLD,0 ftA2,6091.447159,318.1506517,286.7615647,270.209934,6389.016942,1379.863719,46.67659658,20,4,19,20,1,7,16,862890.8,107.1,143.5,6013.176307
2017,Ampang jaya,KAMPUNG TASIK PERMAI,JALAN INDAH PERMAI 1,DETACHED PLOT - RESIDENTIAL USE,4080,61,250000,LEASEHOLD,0 ftA2,6518.357673,1133.653088,269.3056377,765.1780333,8395.536504,873.6727721,163.8877701,20,7,20,20,7,6,20,969472.6,120.25,143.5,6755.90662
2017,Ampang jaya,KAMPUNG TASIK PERMAI,JALAN PERMAI J,DETACHED PLOT - RESIDENTIAL USE,6727,45,300000,LEASEHOLD,0 ftA2,3782.99487,NA,NA,NA,9293.157324,NA,NA,0,1,0,1,0,0,0,969472.6,120.25,143.5,6755.90662
2017,Ampang jaya,KAMPUNG TASIK PERMAI,TASIK PERMAI,DETACHED PLOT - RESIDENTIAL USE,7029,13,90000,LEASEHOLD,0 ftA2,3446.6656,85.20463001,67.20136929,472.1520403,5339.404981,780.2929388,189.1147835,20,16,20,20,7,17,20,969472.6,120.25,143.5,6755.90662
2016,Ampang jaya,KAMPUNG TASIK PERMAI,JALAN PERMAI 29,DETACHED PLOT - RESIDENTIAL USE,5188,64,330000,LEASEHOLD,0 ftA2,6114.83156,296.8980273,290.495402,241.8780353,6414.602175,1406.19098,74.18046127,20,4,19,20,1,7,16,942827.1,116.18,143.5,6570.223693
2016,Ampang jaya,KAMPUNG TASIK PERMAI,LORONG PERMAI 23,DETACHED PLOT - RESIDENTIAL USE,6480,54,350000,LEASEHOLD,0 ftA2,6216.203592,867.717064,277.7521622,793.8754857,7960.449557,141.5168032,NA,20,8,20,20,6,0,14,942827.1,116.18,143.5,6570.223693
2015,Ampang jaya,KAMPUNG TASIK PERMAI,LORONG PERMAI 1A,DETACHED PLOT - RESIDENTIAL USE,5199,4,20000,LEASEHOLD,0 ftA2,5790.266614,290.3583607,100.4569222,220.6297744,7730.179913,255.9067381,18.23843316,20,10,20,20,6,11,20,916181.7,114.35,143.5,6384.541463
2015,Ampang jaya,KAMPUNG TASIK PERMAI,LORONG PERMAI 23,DETACHED PLOT - RESIDENTIAL USE,4359,57,250000,LEASEHOLD,0 ftA2,6216.203592,867.717064,277.7521622,793.8754857,7960.449557,141.5168032,NA,20,8,20,20,6,0,14,916181.7,114.35,143.5,6384.541463
2015,Ampang jaya,KAMPUNG TASIK PERMAI,JALAN INDAH PERMAI 1,DETACHED PLOT - RESIDENTIAL USE,4080,74,300000,LEASEHOLD,0 ftA2,6518.357673,1133.653088,269.3056377,765.1780333,8395.536504,873.6727721,163.8877701,20,7,20,20,7,6,20,916181.7,114.35,143.5,6384.541463
2017,Ampang jaya,UKAY HEIGHT,JALAN TEBRAU 1,DETACHED PLOT - RESIDENTIAL USE,33487,50,1674350,FREEHOLD,0 ftA2,6355.892196,333.6611532,169.0540031,395.5624049,8242.281648,558.4875409,272.4290526,20,8,20,20,5,14,20,969472.6,120.25,143.5,6755.90662
2015,Ampang jaya,UKAY HEIGHT,OFF JALAN TEBRAU,DETACHED PLOT - RESIDENTIAL USE,52272,45,2409795,FREEHOLD,0 ftA2,4922.252975,386.5492083,384.2297377,407.9879921,6851.507824,459.2551317,129.2195027,20,12,20,20,6,6,20,916181.7,114.35,143.5,6384.541463
