X,Area,Year,Date,Type,Sub.Area,Address,AddressArea,coordinates,latitude,longitude,BuildingType,LandArea,Pricepsf,Price,BuiltUp,State,CityArea.km2.,City.Town.Village,school.normalised,Population,CPI,Pop.Density,dis_Klcenter_km,time_Klcenter_min,dis_airport_km,time_airport_min,min_dist_hospital_2km,min_dist_school_2km,dist_conv_store_2km,dist_train_10km,dist_min_police_2km,dist_bus_500m,no_hospital_2km,no_train_station_10km,no_conv_store_2km,no_manufacturing_1km,no_manufacturing_500,no_police_2km,no_bus_station_500m,no_school_1km
2,AMPANG JAYA,2010,4/12/10,Commercial,TAMAN AMPANG MEWAH,JALAN MEWAH 1,"JALAN MEWAH 1, AMPANG JAYA",3.1255428+101.7637734,3.1255428,101.7637734,RETAIL UNIT,311,52,16300,NA,Selengor,143.5,Town,2.68E-05,782954.4,100,5456.128223,15.32,19.63,71.32,63.48,124.98,113.33,15.12,7186.1,683.13,99.06,20,8,20,20,20,3,10,20
3,AMPANG JAYA,2010,12/10/10,Commercial,TAMAN PANDAN RIA,JALAN PANDAN RIA 2,"JALAN PANDAN RIA 2, AMPANG JAYA",3.1399831+101.760822,3.1399831,101.760822,OFFICE,646,232,150000,NA,Selengor,143.5,Town,2.68E-05,782954.4,100,5456.128223,15.31,20.35,73,65.67,228.85,358.51,208.05,7453.22,844.85,385.81,20,10,20,20,20,6,5,20
4,AMPANG JAYA,2012,10/23/2012,Commercial,TAMAN MUDA,JALAN BUNGA TANJUNG 6A,"JALAN BUNGA TANJUNG 6A, AMPANG JAYA",3.1212294+101.7607765,3.1212294,101.7607765,OFFICE,593,843,500000,NA,Selengor,143.5,Town,2.68E-05,836245.3,105,5827.49338,15.58,19.15,70.53,61.53,310.22,216.85,51.41,6686.65,113.79,113.42,20,9,20,20,20,3,10,20
9,AMPANG JAYA,2013,10/7/13,Industrial,KAMPUNG BARU CHINA,JALAN 12 KAMPUNG BARU AMPANG TAMBAHAN,"JALAN 12 KAMPUNG BARU AMPANG TAMBAHAN, AMPANG JAYA",3.1661724+101.7637504,3.1661724,101.7637504,DETACHED FACTORY,11496,339,3900000,NA,Selengor,143.5,Town,2.68E-05,862890.8,107.1,6013.176307,15.54,21.25,77.26,69.42,867.72,598.2,793.88,7960.45,141.52,NA,20,8,20,20,4,6,NA,14
19,AMPANG JAYA,2013,10/18/2013,Industrial,KAMPUNG BARU CHINA, JALAN 11,"JALAN 11, AMPANG JAYA",3.1209697+101.7660208,3.1209697,101.7660208,DETACHED FACTORY,7911,276,2180000,NA,Selengor,143.5,Town,2.68E-05,862890.8,107.1,6013.176307,17.05,21,73.08,66.65,676.42,302.78,356.48,7217.69,593.52,31.27,20,8,20,20,20,3,13,20
20,AMPANG JAYA,2014,1/21/2014,Industrial,MERDEKA RIA INDUSTRIAL PARK, JALAN MERDEKA RIA 1,"JALAN MERDEKA RIA 1, AMPANG JAYA",3.1347705+101.7634904,3.1347705,101.7634904,TERRACE FACTORY,2002,789,1580000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.39,18.68,73.34,64.33,359.79,597.78,402.92,7653.31,1282.33,133.97,20,10,20,20,20,7,11,20
22,AMPANG JAYA,2014,1/7/14,Industrial,MERDEKA RIA INDUSTRIAL PARK,JALAN MERDEKA RIA 1,"JALAN MERDEKA RIA 1, AMPANG JAYA",3.1347705+101.7634904,3.1347705,101.7634904,TERRACE FACTORY,2002,749,1500000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.39,18.68,73.34,64.33,359.79,597.78,402.92,7653.31,1282.33,133.97,20,10,20,20,20,7,11,20
25,AMPANG JAYA,2014,9/29/2014,Industrial,MERDEKA RIA INDUSTRIAL PARK,JALAN MERDEKA RIA 2,"JALAN MERDEKA RIA 2, AMPANG JAYA",3.1351093+101.7636878,3.1351093,101.7636878,TERRACE FACTORY,1873,854,1600000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.4,18.8,73.36,64.47,331.96,562.65,361.69,7692.02,1241.82,111.06,20,10,20,20,20,7,11,20
26,AMPANG JAYA,2014,12/19/2014,Industrial,TAMAN INDUSTRI BUKIT PERMAI,JALAN BUKIT PERMAI UTAMA 3,"JALAN BUKIT PERMAI UTAMA 3, AMPANG JAYA",3.1106906+101.7540593,3.1106906,101.7540593,SEMI-D FACTORY,7200,514,3700000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,13.73,20.08,68.79,59.23,283.49,741.96,365.48,5601.81,1076.92,79.05,20,10,20,20,20,4,6,18
30,AMPANG JAYA,2014,4/10/14,Commercial,PARAGON POINT,PARAGON POINTJALAN BUNGA TANJUNG 8,"PARAGON POINTJALAN BUNGA TANJUNG 8, AMPANG JAYA",3.120287+101.761884,3.120287,101.761884,RETAIL UNIT,431,104,45000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.77,20.63,70.57,62.65,309.83,64.2,119.81,6761.29,127.91,133.85,20,9,20,20,20,3,9,20
33,AMPANG JAYA,2014,10/23/2014,Residential,TAMAN PINGGIRAN CEMPAKA,JALAN PINGGIRAN CEMPAKA,"JALAN PINGGIRAN CEMPAKA, AMPANG JAYA",3.1371165+101.7502628,3.1371165,101.7502628,TOWN HOUSE,904,365,330000,904,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,13.87,15.9,71.56,61.22,353.23,361.39,276.31,6287.08,992.94,268.44,20,13,20,20,20,7,12,20
35,AMPANG JAYA,2014,12/12/14,Residential,TAMAN AMPANG MAJU,JALAN 6A,"JALAN 6A, AMPANG JAYA",3.1406503+101.7659365,3.1406503,101.7659365,SEMI-D,3401,294,1000000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,16.03,20.18,73.98,65.85,259.26,232.85,270.21,8022.15,617.71,152.5,20,9,20,20,20,5,9,20
36,AMPANG JAYA,2014,5/14/2014,Residential,TAMAN AMPANG MAJU,JALAN 6A,"JALAN 6A, AMPANG JAYA",3.1406503+101.7659365,3.1406503,101.7659365,SEMI-D,3401,588,2000000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,16.03,20.18,73.98,65.85,259.26,232.85,270.21,8022.15,617.71,152.5,20,9,20,20,20,5,9,20
38,AMPANG JAYA,2014,8/16/2014,Industrial,MERDEKA RIA INDUSTRIAL PARK,JALAN MERDEKA RIA 2,"JALAN MERDEKA RIA 2, AMPANG JAYA",3.1351093+101.7636878,3.1351093,101.7636878,TERRACE FACTORY,1873,481,900000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.4,18.8,73.36,64.47,331.96,562.65,361.69,7692.02,1241.82,111.06,20,10,20,20,20,7,11,20
39,AMPANG JAYA,2014,12/9/14,Industrial,KAMPUNG BARU CHINA, JALAN 11,"JALAN 11, AMPANG JAYA",3.1209697+101.7660208,3.1209697,101.7660208,DETACHED FACTORY,7266,454,3300000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,17.05,21,73.08,66.65,676.42,302.78,356.48,7217.69,593.52,31.27,20,8,20,20,20,3,13,20
40,AMPANG JAYA,2014,8/1/14,Industrial,MERDEKA RIA INDUSTRIAL PARK,JALAN BUKIT PERMAI UTAMA TIGA,"JALAN BUKIT PERMAI UTAMA TIGA, AMPANG JAYA",3.1106906+101.7540593,3.1106906,101.7540593,SEMI-D FACTORY,7200,521,3750000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,13.73,20.08,68.79,59.23,283.49,741.96,365.48,5601.81,1076.92,79.05,20,10,20,20,20,4,6,18
41,AMPANG JAYA,2014,8/1/14,Industrial,TAMAN INDUSTRI BUKIT PERMAI,JALAN BUKIT PERMAI UTAMA 3,"JALAN BUKIT PERMAI UTAMA 3, AMPANG JAYA",3.1106906+101.7540593,3.1106906,101.7540593,SEMI-D FACTORY,7200,521,3750000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,13.73,20.08,68.79,59.23,283.49,741.96,365.48,5601.81,1076.92,79.05,20,10,20,20,20,4,6,18
47,AMPANG JAYA,2014,3/10/14,Commercial,TAMAN MUDA,JALAN BUNGA TANJUNG 6A,"JALAN BUNGA TANJUNG 6A, AMPANG JAYA",3.1212294+101.7607765,3.1212294,101.7607765,OFFICE,1345,781,1050000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.58,19.15,70.53,61.53,310.22,216.85,51.41,6686.65,113.79,113.42,20,9,20,20,20,3,10,20
52,AMPANG JAYA,2014,6/18/2014,Residential,TAMAN BUKIT AMPANG,JALAN MUTIARA,"JALAN MUTIARA, AMPANG JAYA",3.1413673+101.7778513,3.1413673,101.7778513,SEMI-D,4252,223,950000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,17.01,23.45,75.23,68.87,259.26,1024.32,399.29,9347.51,1278.09,199.21,10,3,20,20,20,3,4,18
55,AMPANG JAYA,2014,12/1/14,Industrial,TAMAN INDUSTRI BUKIT PERMAI,JALAN BUKIT PERMAI UTAMAN SATU,"JALAN BUKIT PERMAI UTAMAN SATU, AMPANG JAYA",3.1101076+101.7542545,3.1101076,101.7542545,SEMI-D FACTORY,6824,542,3700000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,13.75,20.6,68.81,59.75,327.59,103.18,413.65,5606.94,1109.13,83.59,20,10,20,20,20,2,6,17
57,AMPANG JAYA,2015,9/17/2015,Industrial,KAMPUNG BARU CHINA,KAMPUNG BARU CINA,"KAMPUNG BARU CINA, AMPANG JAYA",3.141022+101.763875,3.141022,101.763875,DETACHED FACTORY,9000,176,1580000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,15.65,21.18,73.34,66.5,285.32,4172.91,205.19,7793.59,591.42,112.92,20,10,20,20,20,5,6,20
60,AMPANG JAYA,2015,5/8/15,Residential,CENGAL,JALAN CHERAS HARTAMAS,"JALAN CHERAS HARTAMAS, AMPANG JAYA",3.093298700000001+101.752308,3.0932987,101.752308,APARTMENT,861,319,275000,861,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,14.68,21,71.83,61.68,1443.81,204.4,162.87,4959.31,1172.82,104.9,20,11,20,20,1,7,6,12
62,AMPANG JAYA,2015,7/6/15,Industrial,TAMAN CAHAYA,JALAN CAHAYA 15,"JALAN CAHAYA 15, AMPANG JAYA",3.1450958+101.7593613,3.1450958,101.7593613,TERRACE FACTORY,861,429,1200000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,15.41,18.17,72.76,63.85,365.64,58.95,587,7313.9,514.34,158.71,20,10,20,20,20,6,11,20
65,AMPANG JAYA,2015,2/27/2015,Residential,TAMAN AMPANG MAJU, JALAN 6,"JALAN 6, AMPANG JAYA",3.1406503+101.7659365,3.1406503,101.7659365,SEMI-D,861,369,1165000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,16.03,20.18,73.98,65.85,258.46,232.85,270.21,8022.15,617.71,152.5,20,9,20,20,20,5,9,20
69,AMPANG JAYA,2015,8/20/2015,Residential,CENGAL,JALAN CHERAS HARTAMAS,"JALAN CHERAS HARTAMAS, AMPANG JAYA",3.093298700000001+101.752308,3.0932987,101.752308,APARTMENT,685,348,300000,861,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,14.68,21,71.83,61.68,1443.81,204.4,162.87,4959.31,1172.82,104.9,20,11,20,20,1,7,6,12
70,AMPANG JAYA,2015,9/18/2015,Residential,CENGAL,JALAN CHERAS HARTAMAS,"JALAN CHERAS HARTAMAS, AMPANG JAYA",3.093298700000001+101.752308,3.0932987,101.752308,APARTMENT,732,387,333000,861,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,14.68,21,71.83,61.68,1443.81,204.4,162.87,4959.31,1172.82,104.9,20,11,20,20,1,7,6,12
